Temperature,Humidity,Time
82.94,59.70,0.35
82.94,59.70,1.35
83.84,47.30,2.71
83.84,47.30,3.71
83.66,46.90,5.06
83.66,46.90,6.06
83.66,46.90,7.42
83.66,46.90,8.42
83.66,46.50,9.77
83.66,46.50,10.77
83.84,46.80,12.12
83.84,46.80,13.12
84.20,46.80,14.48
84.20,46.80,15.48
84.56,46.70,16.83
84.56,46.70,17.83
85.10,46.60,19.19
85.10,46.60,20.19
85.82,45.70,21.54
85.82,45.70,22.54
86.36,45.50,23.90
86.36,45.50,24.90
86.90,45.10,26.25
86.90,45.10,27.25
87.44,45.40,28.61
87.44,45.40,29.61
87.80,45.60,30.96
87.80,45.60,31.96
87.98,45.60,33.32
87.98,45.60,34.32
88.34,45.30,35.67
88.34,45.30,36.67
88.52,44.90,38.03
88.52,44.90,39.03
88.70,45.00,40.38
88.70,45.00,41.38
89.06,45.00,42.74
89.06,45.00,43.74
89.42,44.60,45.09
89.42,44.60,46.09
89.78,44.20,47.44
89.78,44.20,48.45
89.96,43.80,49.80
89.96,43.80,50.80
90.32,43.80,52.15
90.32,43.80,53.16
90.86,43.90,54.51
90.86,43.90,55.51
91.04,43.40,56.86
91.04,43.40,57.86
91.04,43.00,59.22
91.04,43.00,60.22
90.50,42.60,61.57
90.50,42.60,62.57
90.50,42.60,64.93
89.24,41.80,66.28
89.24,41.80,67.28
88.70,41.60,68.63
88.70,41.60,69.64
87.98,41.40,70.99
87.98,41.40,71.99
87.44,41.60,73.34
87.44,41.60,74.34
86.72,41.50,75.70
86.72,41.50,76.70
85.82,41.50,78.05
85.82,41.50,79.05
85.10,41.80,80.40
85.10,41.80,81.41
84.38,41.90,82.76
84.38,41.90,83.76
83.84,41.90,85.11
83.84,41.90,86.11
83.30,42.20,87.47
83.30,42.20,88.47
82.94,42.50,89.82
82.94,42.50,90.82
82.58,42.70,92.18
82.58,42.70,93.18
82.22,43.10,94.53
82.22,43.10,95.53
81.86,43.50,96.88
81.86,43.50,97.88
81.68,43.70,99.24
81.68,43.70,100.24
81.68,44.10,101.59
81.68,44.10,102.59
81.68,44.50,103.95
81.68,44.50,104.95
81.50,44.70,106.30
81.50,44.70,107.30
81.32,44.90,108.66
81.32,44.90,109.66
81.14,45.20,111.01
81.14,45.20,112.01
80.96,45.20,113.37
80.96,45.20,114.37
80.78,45.30,115.72
80.78,45.30,116.72
