Temperature,Humidity,Time
76.46,55.20,0.35
76.46,55.20,1.35
76.46,55.20,3.71
77.54,49.30,5.06
77.54,49.30,6.06
77.36,51.20,7.42
77.36,51.20,8.42
77.54,51.30,9.77
77.54,51.30,10.77
77.72,51.30,12.12
77.72,51.30,13.13
78.08,51.20,14.48
78.08,51.20,15.48
78.44,51.10,16.83
78.44,51.10,17.84
78.98,51.00,19.19
78.98,51.00,20.19
78.98,51.00,22.55
78.98,51.00,24.90
78.98,51.00,27.26
87.08,51.60,28.61
87.08,51.60,29.61
87.08,51.60,31.97
87.08,51.60,34.32
87.08,51.60,36.68
87.08,51.60,39.03
87.08,51.60,41.39
191.30,99.90,42.74
191.30,99.90,43.74
185.90,99.90,45.09
185.90,99.90,46.10
183.38,99.90,47.45
183.38,99.90,48.45
176.72,92.50,49.81
176.72,92.50,50.81
165.92,77.10,52.16
165.92,77.10,53.16
165.92,77.10,55.52
153.68,62.30,56.87
153.68,62.30,57.87
148.28,59.40,59.23
148.28,59.40,60.23
142.34,54.60,61.58
142.34,54.60,62.58
137.66,58.00,63.94
137.66,58.00,64.94
132.98,64.10,66.29
132.98,64.10,67.29
129.02,50.60,68.65
129.02,50.60,69.65
129.02,50.60,72.00
122.72,43.80,73.36
122.72,43.80,74.36
120.02,41.90,75.71
120.02,41.90,76.71
117.68,40.80,78.07
117.68,40.80,79.07
115.70,48.50,80.42
115.70,48.50,81.42
113.72,38.80,82.78
113.72,38.80,83.78
113.72,38.80,86.13
113.72,38.80,88.49
113.72,38.80,90.84
105.62,35.60,92.20
105.62,35.60,93.20
103.28,37.20,94.55
103.28,37.20,95.55
101.48,37.20,96.91
101.48,37.20,97.91
100.04,67.90,99.26
100.04,67.90,100.26
99.50,37.70,101.62
99.50,37.70,102.62
99.50,37.70,104.97
96.08,62.00,106.33
96.08,62.00,107.33
95.00,65.40,108.68
95.00,65.40,109.68
94.10,65.30,111.04
94.10,65.30,112.04
93.20,60.10,113.39
93.20,60.10,114.39
92.48,61.10,115.75
92.48,61.10,116.75
